tipo,state,colision,reflection,reward,0
colisao,Ativo,0.0,0,0.005,0.004095836072814062
colisao,Ativo,0.0,0,0.01,0.005247874992568878
colisao,Ativo,0.0,0,1.0,0.017249458181348362
colisao,Ativo,0.0,1,0.005,0.004586909149053497
colisao,Ativo,0.0,1,0.01,0.010855669952110736
colisao,Ativo,1.0,0,0.005,0.00851415501663244
colisao,Ativo,1.0,0,0.01,0.0032159618765355722
colisao,Ativo,1.0,0,1.0,0.0030329632810199834
colisao,Ativo,1.0,1,0.005,0.0005041497072133966
colisao,Ativo,1.0,1,0.01,0.0006289157344016326
colisao,Passivo,0.0,0,0.005,0.010139161040455359
colisao,Passivo,0.0,0,0.01,0.01023917417860417
colisao,Passivo,0.0,0,1.0,0.021622968245204453
colisao,Passivo,0.0,1,0.005,0.00540817649902685
colisao,Passivo,0.0,1,0.01,0.005238072014007027
colisao,Passivo,1.0,0,0.005,0.011065060282667351
colisao,Passivo,1.0,0,0.01,0.012318330640229844
colisao,Passivo,1.0,0,1.0,0.031393707495378356
colisao,Passivo,1.0,1,0.005,0.01322154394454091
colisao,Passivo,1.0,1,0.01,0.015049962973229783
periodico,Ativo,0.0,0,1.0,0.0033711546328642436
periodico,Ativo,0.0,1,1.0,0.0035867080776844505
periodico,Passivo,0.0,0,1.0,0.005801688548479135
periodico,Passivo,0.0,1,1.0,0.006609036851764636
