0,1,2,3,4
0,0,16977,1,1
1,0,7231,1,1
2,0,8933,1,1
3,0,341,1,1
4,0,759,1,1
5,0,1326,1,1
6,0,10870,1,1
7,0,305,1,1
8,0,1863,1,1
9,0,2970,1,1
10,0,337,1,1
11,0,1134,1,1
12,0,809,1,1
13,0,331,1,1
14,0,2100,1,1
15,0,5034,1,1
16,0,1022,1,1
17,0,117,1,1
18,0,5,1,1
19,0,556,1,1
20,0,3035,1,1
21,0,117,1,1
22,0,29,1,1
23,0,1848,1,1
24,0,1169,1,1
25,0,2520,1,1
26,0,3277,1,1
27,0,926,1,1
28,0,5278,1,1
29,0,4018,1,1
30,0,3059,1,1
31,0,1477,1,1
32,0,240,1,1
33,0,440,1,1
34,0,3110,1,1
35,0,30,1,1
36,0,3286,1,1
37,0,167,1,1
38,0,2886,1,1
39,0,3457,1,1
40,0,67,1,1
41,0,579,1,1
42,0,3529,1,1
43,0,1777,1,1
44,0,1137,1,1
45,0,1445,1,1
46,0,98,1,1
47,0,1479,1,1
48,0,1130,1,1
49,0,601,1,1
50,0,5023,1,1
51,0,1324,1,1
52,0,366,1,1
53,0,2324,1,1
54,0,966,1,1
55,0,398,1,1
56,0,3729,1,1
57,0,1411,1,1
58,0,986,1,1
59,0,38,1,1
60,0,8717,1,1
61,0,496,1,1
62,0,2466,1,1
63,0,733,1,1
64,0,244,1,1
65,0,20,1,1
66,0,155,1,1
67,0,41,1,1
68,0,3759,1,1
69,0,638,1,1
70,0,45,1,1
71,0,44,1,1
72,0,737,1,1
73,0,938,1,1
74,0,3647,1,1
75,0,2666,1,1
76,0,862,1,1
77,0,1951,1,1
78,0,1372,1,1
79,0,1496,1,1
80,0,4965,1,1
81,0,1065,1,1
82,0,4266,1,1
83,0,313,1,1
84,0,484,1,1
85,0,1977,1,1
86,0,1743,1,1
87,0,1105,1,1
88,0,2248,1,1
89,0,1711,1,1
90,0,2017,1,1
91,0,1508,1,1
92,0,6090,1,1
93,0,705,1,1
94,0,4,1,1
95,0,775,1,1
96,0,1800,1,1
97,0,63,1,1
98,0,51,1,1
99,0,26,1,1
0,1,12760,1,1
